City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Desc
79,Dong Hoi,VN,17.4833,106.6,89.6,61,100,12.26,light rain
80,Alcobendas,ES,40.5475,-3.642,71.37,52,0,1.01,clear sky
81,Lompoc,US,34.6391,-120.4579,66.34,86,90,9.22,overcast clouds
82,Touros,BR,-5.1989,-35.4608,76.1,90,65,11.99,broken clouds
83,Asau,RO,46.4333,26.4,65.39,78,2,4.03,clear sky
84,Upernavik,GL,72.7868,-56.1549,39.97,87,5,12.39,clear sky
85,Iqaluit,CA,63.7506,-68.5145,56.93,58,90,11.01,overcast clouds
86,Tezu,IN,27.9167,96.1667,88.79,63,30,4.59,scattered clouds
87,Port Elizabeth,ZA,-33.918,25.5701,44.89,93,0,3.44,clear sky
88,Basco,PH,20.4487,121.9702,82.96,87,100,26.44,light rain
89,Lillehammer,NO,61.1146,10.4674,50.32,79,55,2.24,broken clouds
90,Aykhal,RU,66.0,111.5,74.89,27,0,10.42,clear sky
91,Namatanai,PG,-3.6667,152.4333,83.89,71,90,5.99,light rain
92,Lavrentiya,RU,65.5833,-171.0,43.92,97,100,5.46,light rain
93,Atuona,PF,-9.8,-139.0333,77.31,75,33,14.61,scattered clouds
94,Santander,ES,43.4647,-3.8044,60.3,95,75,1.99,light rain
95,Port Moresby,PG,-9.4431,147.1797,85.42,70,75,17.27,broken clouds
96,Bluff,NZ,-46.6,168.3333,49.8,92,100,3.56,light rain
97,Palmer,US,42.1584,-72.3287,65.01,71,1,6.91,clear sky
98,Gusau,NG,12.1628,6.6614,70.92,92,91,5.97,light rain
99,Bremervorde,DE,53.4833,9.1333,60.4,93,17,13.44,few clouds
100,Vostok,RU,46.4856,135.8833,84.49,48,73,3.31,broken clouds
101,Dubbo,AU,-32.25,148.6167,73.53,38,90,17.27,overcast clouds
102,San Patricio,US,28.017,-97.5169,84.85,69,20,11.45,few clouds
103,Lagoa,PT,39.05,-27.9833,69.66,86,66,6.96,broken clouds
104,Dickinson,US,29.4608,-95.0513,84.97,81,20,4.61,few clouds
105,Yarkovo,RU,57.4028,67.0786,60.44,95,89,5.48,overcast clouds
106,Kargopol,RU,61.5071,38.9456,60.21,85,99,3.44,overcast clouds
107,Vila,PT,42.0304,-8.1588,51.69,76,92,4.68,overcast clouds
108,Goderich,CA,43.7501,-81.7165,53.91,87,0,2.3,clear sky
109,Moose Factory,CA,51.2585,-80.6094,49.98,87,1,5.75,clear sky
110,Rocha,UY,-34.4833,-54.3333,41.05,89,0,6.76,clear sky
111,Saldanha,ZA,-33.0117,17.9442,46.45,75,3,7.67,clear sky
112,Meulaboh,ID,4.1363,96.1285,79.12,87,100,8.23,overcast clouds
113,Evensk,RU,61.95,159.2333,57.47,49,5,8.59,clear sky
114,Ulaangom,MN,49.9811,92.0667,59.63,64,100,11.81,light rain
115,Saint-Leu,RE,-21.15,55.2833,65.26,65,5,7.25,clear sky
116,Chacabuco,AR,-34.6417,-60.4739,42.8,60,0,8.39,clear sky
117,Hualmay,PE,-11.0964,-77.6139,62.76,86,53,9.6,broken clouds
118,Bereda,ES,43.2686,-7.5406,54.0,100,90,1.61,overcast clouds
119,Luganville,VU,-15.5333,167.1667,78.73,61,14,11.23,few clouds
120,Ixtapa,MX,20.7,-105.2,83.43,79,75,0.0,broken clouds
121,Victoria,HK,22.2855,114.1577,91.96,78,91,7.0,overcast clouds
122,Hasaki,JP,35.7333,140.8333,88.29,74,0,13.71,clear sky
123,Uspenka,UA,48.3903,39.1619,71.64,73,80,2.3,broken clouds
124,Mar Del Plata,AR,-38.0023,-57.5575,50.0,65,0,7.0,clear sky
125,Arraial Do Cabo,BR,-22.9661,-42.0278,64.17,63,84,14.9,broken clouds
126,Kasempa,ZM,-13.4584,25.8338,50.74,63,2,6.24,clear sky
127,Dingle,PH,10.9995,122.6711,90.43,60,97,14.61,overcast clouds
128,Yar-Sale,RU,66.8333,70.8333,48.58,93,100,14.25,light rain
129,Plover,US,44.4564,-89.544,64.65,85,1,1.99,clear sky
130,Goryachegorsk,RU,55.4053,88.9154,66.81,51,1,3.85,clear sky
131,San Quintin,MX,30.4833,-115.95,68.68,84,24,13.94,few clouds
132,Alcaniz,ES,41.05,-0.1333,72.43,71,0,7.14,clear sky
133,Pergamino,AR,-33.89,-60.5736,39.18,63,0,8.55,clear sky
134,Adre,TD,13.4667,22.2,72.77,74,100,6.93,overcast clouds
135,Yamada,JP,39.4667,141.95,75.9,90,96,8.88,overcast clouds
136,Pacific Grove,US,36.6177,-121.9166,66.81,89,90,3.0,overcast clouds
137,Khatanga,RU,71.9667,102.5,84.24,28,3,18.97,clear sky
138,Starobaltachevo,RU,56.0013,55.9213,71.55,72,96,9.95,overcast clouds
139,Brownsville,US,25.9018,-97.4975,83.91,84,1,1.99,clear sky
140,Dunedin,NZ,-45.8742,170.5036,54.81,69,100,1.01,overcast clouds
141,Novyy Urengoy,RU,66.0833,76.6333,58.53,57,99,11.1,overcast clouds
142,Nicolas Bravo,MX,18.45,-88.9167,73.67,98,97,2.68,overcast clouds
143,Trinidad,BO,-14.8333,-64.9,57.43,45,0,3.89,clear sky
144,Tuktoyaktuk,CA,69.4541,-133.0374,60.8,88,75,4.61,broken clouds
145,Katsuura,JP,35.1333,140.3,84.31,69,1,13.65,clear sky
146,Muravlenko,RU,63.7898,74.523,58.17,60,80,9.35,broken clouds
147,Inhambane,MZ,-23.865,35.3833,58.98,94,20,3.44,few clouds
148,Concepcion,CL,-36.827,-73.0498,48.0,93,0,8.05,clear sky
149,Demba,CD,-5.51,22.2667,76.05,32,99,3.22,overcast clouds
150,Oranjemund,NA,-28.55,16.4333,65.59,28,0,11.68,clear sky
151,Olafsvik,IS,64.8945,-23.7142,54.43,88,96,4.61,overcast clouds
152,Carnarvon,AU,-24.8667,113.6333,64.47,52,40,14.97,scattered clouds
153,Clyde River,CA,70.4692,-68.5914,41.23,87,1,3.44,clear sky
154,Port Hardy,CA,50.6996,-127.4199,62.78,82,1,8.05,clear sky
155,Prainha,BR,-1.8,-53.48,71.28,98,47,2.17,scattered clouds
156,Peace River,CA,56.2501,-117.286,80.91,34,20,5.75,few clouds
157,Isangel,VU,-19.55,169.2667,75.31,57,75,16.11,broken clouds
158,Butaritari,KI,3.0707,172.7902,80.37,77,67,4.18,light rain
159,Kolokani,ML,13.5728,-8.0339,73.99,85,70,3.65,broken clouds
160,Fortuna,US,40.5982,-124.1573,56.93,91,90,8.05,overcast clouds
161,Saskylakh,RU,71.9167,114.0833,85.19,25,8,11.86,clear sky
162,Belyy Yar,RU,53.6039,91.3903,69.69,64,0,2.24,clear sky
163,Changli,CN,39.7042,119.1506,83.46,72,47,7.81,scattered clouds
164,Porto Walter,BR,-8.2686,-72.7439,63.55,67,3,0.13,clear sky
165,Umm Lajj,SA,25.0213,37.2685,84.88,52,14,1.86,few clouds
166,Inuvik,CA,68.3499,-133.7218,74.26,41,75,10.36,broken clouds
167,Tautira,PF,-17.7333,-149.15,82.0,65,88,13.33,overcast clouds
168,Puerto Narino,CO,-3.7703,-70.3831,84.15,71,60,0.09,broken clouds
169,Montlucon,FR,46.3333,2.6,54.7,94,32,4.83,scattered clouds
170,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,71.56,90,70,2.53,broken clouds
171,Preetz,DE,54.2333,10.2833,60.24,94,30,10.36,scattered clouds
172,Hithadhoo,MV,-0.6,73.0833,81.39,73,48,3.51,scattered clouds
173,Mineral Wells,US,32.8085,-98.1128,88.72,61,1,6.91,clear sky
174,Najran,SA,17.4924,44.1277,86.65,37,95,7.0,overcast clouds
175,Kjollefjord,NO,70.9457,27.3465,48.31,78,100,5.68,overcast clouds
176,Mnogovershinnyy,RU,53.9353,139.9242,47.95,87,100,6.13,overcast clouds
177,Vuktyl,RU,63.8567,57.3094,56.75,57,64,2.59,broken clouds
178,San Luis,AR,-33.295,-66.3356,48.34,31,2,12.19,clear sky
179,Tala,EG,30.6803,30.9429,73.45,88,0,2.95,clear sky
180,Puerto Ayora,EC,-0.7393,-90.3518,70.56,94,27,5.01,scattered clouds
181,Tasiilaq,GL,65.6145,-37.6368,42.96,78,17,2.95,few clouds
182,Robe,AU,-37.1833,139.75,54.28,91,100,22.97,light rain
183,Cam Ranh,VN,11.9214,109.1591,96.76,41,20,3.44,few clouds
184,Faanui,PF,-16.4833,-151.75,77.76,72,35,17.4,scattered clouds
