City_ID,City,Country,Max Temp,Current Desc,Lat,Lng,Hotel Name
120,Ixtapa,MX,83.43,broken clouds,20.7,-105.2,Hotel Plaza Providencia
122,Hasaki,JP,88.29,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
123,Uspenka,UA,71.64,broken clouds,48.3903,39.1619,"Санаторий-профилакторий ""Парус"""
125,Arraial Do Cabo,BR,64.17,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
129,Plover,US,64.65,clear sky,44.4564,-89.544,Hampton Inn Plover-Stevens Point
130,Goryachegorsk,RU,66.81,clear sky,55.4053,88.9154,
131,San Quintin,MX,68.68,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
132,Alcaniz,ES,72.43,clear sky,41.05,-0.1333,Hotel Ciudad de Alcañiz
134,Adre,TD,72.77,overcast clouds,13.4667,22.2,
135,Yamada,JP,75.9,overcast clouds,39.4667,141.95,Iroha-ya Inn
136,Pacific Grove,US,66.81,overcast clouds,36.6177,-121.9166,Lovers Point Inn
137,Khatanga,RU,84.24,clear sky,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
138,Starobaltachevo,RU,71.55,overcast clouds,56.0013,55.9213,Uyut
139,Brownsville,US,83.91,clear sky,25.9018,-97.4975,University Inn & Suites
142,Nicolas Bravo,MX,73.67,overcast clouds,18.45,-88.9167,
144,Tuktoyaktuk,CA,60.8,broken clouds,69.4541,-133.0374,End of The Road Ltd.
145,Katsuura,JP,84.31,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
149,Demba,CD,76.05,overcast clouds,-5.51,22.2667,Guest House Du Cinquantenaire
152,Carnarvon,AU,64.47,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
154,Port Hardy,CA,62.78,clear sky,50.6996,-127.4199,Airport Inn
155,Prainha,BR,71.28,scattered clouds,-1.8,-53.48,Casa Rocha
156,Peace River,CA,80.91,few clouds,56.2501,-117.286,BCMInns - Peace River
157,Isangel,VU,75.31,broken clouds,-19.55,169.2667,Tanna Lodge
158,Butaritari,KI,80.37,light rain,3.0707,172.7902,Isles Sunset Lodge
159,Kolokani,ML,73.99,broken clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
161,Saskylakh,RU,85.19,clear sky,71.9167,114.0833,
162,Belyy Yar,RU,69.69,clear sky,53.6039,91.3903,Pasportnyy Stol
163,Changli,CN,83.46,scattered clouds,39.7042,119.1506,7Days Inn Qinhuangdao Changli Jieyang Street
164,Porto Walter,BR,63.55,clear sky,-8.2686,-72.7439,Secretaria de saúde
165,Umm Lajj,SA,84.88,few clouds,25.0213,37.2685,Moon light Furnished Units
166,Inuvik,CA,74.26,broken clouds,68.3499,-133.7218,Nova Inn Inuvik
167,Tautira,PF,82.0,overcast clouds,-17.7333,-149.15,Pension Oaoa
168,Puerto Narino,CO,84.15,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
170,Santa Isabel Do Rio Negro,BR,71.56,broken clouds,-0.4139,-65.0192,Hotel GSA
171,Preetz,DE,60.24,scattered clouds,54.2333,10.2833,Hotelbetrieb Hecht GmbH
172,Hithadhoo,MV,81.39,scattered clouds,-0.6,73.0833,Scoop Guest House
173,Mineral Wells,US,88.72,clear sky,32.8085,-98.1128,The Baker Hotel and Spa
174,Najran,SA,86.65,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
179,Tala,EG,73.45,clear sky,30.6803,30.9429,مصطفى اشرف
180,Puerto Ayora,EC,70.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
184,Faanui,PF,77.76,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
185,Haines Junction,CA,71.55,scattered clouds,60.7522,-137.5108,Parkside Inn
186,Mangaratiba,BR,61.03,overcast clouds,-22.9597,-44.0406,Portobello Resort & Safari
187,Santa Rosa,PH,89.1,heavy intensity rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
191,Norman Wells,CA,82.44,scattered clouds,65.282,-126.8329,Heritage Hotel
192,Zhangjiakou,CN,87.66,clear sky,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
195,Port Blair,IN,84.36,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
197,Shimsk,RU,60.19,broken clouds,58.212,30.7127,
198,Luanda,AO,68.18,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
199,Channel-Port Aux Basques,CA,61.84,overcast clouds,47.5702,-59.1367,St. Christopher's Hotel
