City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
68,Yatou,CN,2021-07-30 01:10:38,37.15,122.3833,79.29,82,100,18.5
69,Mildura,AU,2021-07-30 01:10:38,-34.2,142.15,55.36,47,90,14.97
70,Bathsheba,BB,2021-07-30 01:10:39,13.2167,-59.5167,81.21,74,20,12.66
71,Tabou,CI,2021-07-30 01:10:39,4.423,-7.3528,76.17,85,100,4.83
72,Namibe,AO,2021-07-30 01:10:39,-15.1961,12.1522,63.81,81,2,0.11
73,Atuona,PF,2021-07-30 01:07:39,-9.8,-139.0333,77.0,82,100,13.8
74,Sao Filipe,CV,2021-07-30 01:10:40,14.8961,-24.4956,75.49,79,75,6.46
75,Kudahuvadhoo,MV,2021-07-30 01:10:41,2.6708,72.8944,81.64,72,87,4.29
76,Yarada,IN,2021-07-30 01:10:41,17.65,83.2667,80.92,83,90,4.61
77,Cabo San Lucas,MX,2021-07-30 01:10:41,22.8909,-109.9124,93.51,71,20,5.01
78,Sakakah,SA,2021-07-30 01:09:07,29.9697,40.2064,83.48,31,6,12.41
79,Saint George,US,2021-07-30 01:10:42,37.1041,-113.5841,100.87,29,20,10.0
80,Aguimes,ES,2021-07-30 01:10:42,27.9054,-15.4461,69.66,73,20,23.02
81,Bluff,NZ,2021-07-30 01:10:43,-46.6,168.3333,50.81,73,100,4.54
82,Tekeli,KZ,2021-07-30 01:10:43,44.83,78.8239,60.6,56,99,3.6
83,Comodoro Rivadavia,AR,2021-07-30 01:10:44,-45.8667,-67.5,64.26,22,0,12.66
84,Caravelas,BR,2021-07-30 01:10:44,-17.7125,-39.2481,70.48,79,100,14.47
85,Ulaanbaatar,MN,2021-07-30 01:10:45,47.9077,106.8832,59.13,72,40,6.71
86,Chuy,UY,2021-07-30 01:10:45,-33.6971,-53.4616,41.65,83,11,6.04
87,Juegang,CN,2021-07-30 01:10:45,32.3174,121.1855,79.99,78,17,10.16
88,Port-Gentil,GA,2021-07-30 01:10:46,-0.7193,8.7815,76.41,77,58,13.47
89,Lashio,MM,2021-07-30 01:10:46,22.9333,97.75,71.96,96,90,1.36
90,Zyryanka,RU,2021-07-30 01:10:47,65.75,150.85,47.68,69,100,6.06
91,Nhamunda,BR,2021-07-30 01:10:47,-2.1861,-56.7131,76.12,78,99,2.42
92,Hede,CN,2021-07-30 01:10:48,33.7681,120.2517,77.81,82,18,12.75
93,Linkuva,LT,2021-07-30 01:10:48,56.0856,23.9725,59.67,67,100,9.55
94,Arivonimamo,MG,2021-07-30 01:10:48,-19.0167,47.1833,51.85,80,88,10.89
95,Sarakhs,IR,2021-07-30 01:10:49,36.5449,61.1577,77.58,39,0,14.12
96,Kanniyakumari,IN,2021-07-30 01:10:50,8.0833,77.5667,78.6,81,70,19.53
97,Wad Madani,SD,2021-07-30 01:09:08,14.4012,33.5199,80.56,73,49,18.84
98,Kalmunai,LK,2021-07-30 01:10:50,7.4167,81.8167,79.81,74,28,4.47
99,Hirara,JP,2021-07-30 01:10:51,24.8,125.2833,83.34,85,13,9.86
100,Albany,US,2021-07-30 01:09:09,42.6001,-73.9662,71.67,92,100,5.23
101,San Cristobal,VE,2021-07-30 01:10:51,7.7669,-72.225,75.38,98,43,4.21
102,Kaitangata,NZ,2021-07-30 01:10:52,-46.2817,169.8464,53.92,77,92,8.84
103,Chato,TZ,2021-07-30 01:10:52,-2.6378,31.7669,66.47,50,12,5.79
104,Norman Wells,CA,2021-07-30 01:10:53,65.282,-126.8329,69.84,60,75,2.3
105,Bambous Virieux,MU,2021-07-30 01:10:53,-20.3428,57.7575,70.21,74,100,21.72
106,Dingle,PH,2021-07-30 01:10:54,10.9995,122.6711,85.51,70,57,13.58
107,Severo-Kurilsk,RU,2021-07-30 01:10:54,50.6789,156.125,61.79,89,97,4.5
108,Kavaratti,IN,2021-07-30 01:10:55,10.5669,72.642,82.33,74,100,15.23
109,Bocaiuva,BR,2021-07-30 01:10:55,-17.1078,-43.815,60.94,36,0,4.41
110,Severnyy,RU,2021-07-30 01:10:56,50.677,36.5532,68.04,83,45,4.47
111,Vanavara,RU,2021-07-30 01:10:56,60.34,102.2797,72.21,40,0,7.67
112,Hofn,IS,2021-07-30 01:10:56,64.2539,-15.2082,51.3,92,79,2.77
113,Kodiak,US,2021-07-30 01:08:43,57.79,-152.4072,56.71,67,90,3.44
114,Clonakilty,IE,2021-07-30 01:10:57,51.6231,-8.8706,54.61,88,100,14.74
115,Mataura,NZ,2021-07-30 01:10:57,-46.1927,168.8643,50.49,78,100,3.47
116,San Carlos De Bariloche,AR,2021-07-30 01:10:58,-41.1456,-71.3082,38.44,64,0,3.44
117,Emerald,AU,2021-07-30 01:10:58,-23.5333,148.1667,70.34,39,0,6.71
118,Bousse,BF,2021-07-30 01:10:59,12.6606,-1.8922,76.86,79,100,10.6
119,Chimbote,PE,2021-07-30 01:10:59,-9.0853,-78.5783,65.32,86,67,8.77
120,Mar Del Plata,AR,2021-07-30 01:10:59,-38.0023,-57.5575,50.13,70,0,3.0
121,Esperance,AU,2021-07-30 01:11:00,-33.8667,121.9,55.49,68,98,23.47
122,Salalah,OM,2021-07-30 01:11:00,17.0151,54.0924,78.89,89,90,12.66
123,Bria,CF,2021-07-30 01:11:01,6.5423,21.9863,67.15,95,51,1.81
124,Funchal,PT,2021-07-30 01:11:01,32.6333,-16.9,72.23,82,20,4.0
125,Ancud,CL,2021-07-30 01:11:01,-41.8697,-73.8203,44.13,86,100,9.78
126,Lompoc,US,2021-07-30 01:11:02,34.6391,-120.4579,77.22,78,90,7.0
127,Zabid,YE,2021-07-30 01:11:02,14.1951,43.3152,88.63,55,77,5.64
128,Kabanjahe,ID,2021-07-30 01:11:03,3.1001,98.4908,65.16,82,100,2.08
129,Tres Lagoas,BR,2021-07-30 01:11:04,-20.7511,-51.6783,46.44,26,0,5.79
130,Batsfjord,NO,2021-07-30 01:11:04,70.6345,29.7185,44.53,89,100,3.65
131,Constitucion,CL,2021-07-30 01:10:56,-35.3333,-72.4167,51.55,76,0,2.95
132,Thompson,CA,2021-07-30 01:11:05,55.7435,-97.8558,68.9,53,100,4.25
133,Zhezkazgan,KZ,2021-07-30 01:11:05,47.8043,67.7144,63.52,59,0,7.45
134,Nioro,GM,2021-07-30 01:11:05,13.35,-15.75,76.44,89,100,5.97
135,Nachingwea,TZ,2021-07-30 01:11:06,-10.3833,38.7667,60.51,77,0,2.59
136,Khilok,RU,2021-07-30 01:11:06,51.3674,110.4676,60.58,86,100,4.36
137,Karratha,AU,2021-07-30 01:11:07,-20.7377,116.8463,71.02,62,0,4.88
138,Welwyn Garden City,GB,2021-07-30 01:11:07,51.8017,-0.2069,60.24,81,40,1.01
139,Vila Franca Do Campo,PT,2021-07-30 01:11:07,37.7167,-25.4333,70.21,91,46,4.29
140,Aklavik,CA,2021-07-30 01:11:08,68.2191,-135.0107,69.93,50,100,10.98
141,Husavik,IS,2021-07-30 01:11:08,66.0449,-17.3389,50.77,93,96,2.08
142,Castro,BR,2021-07-30 01:11:09,-24.7911,-50.0119,34.3,59,0,2.06
143,Aljezur,PT,2021-07-30 01:11:09,37.3191,-8.8033,60.15,85,0,11.25
144,Seoul,KR,2021-07-30 01:11:10,37.5683,126.9778,90.01,55,88,3.29
145,Save,BJ,2021-07-30 01:11:10,8.0425,2.486,72.59,88,75,4.16
146,Cotacachi,EC,2021-07-30 01:11:11,0.3,-78.2667,56.75,87,42,5.57
147,Hasaki,JP,2021-07-30 01:11:11,35.7333,140.8333,84.6,79,20,9.13
148,Pochutla,MX,2021-07-30 01:11:12,15.7432,-96.4661,80.42,87,100,3.02
149,Alofi,NU,2021-07-30 01:11:12,-19.0595,-169.9187,78.69,73,75,12.66
150,Puro,PH,2021-07-30 01:11:12,12.4841,123.3827,85.24,71,95,14.32
151,Kahului,US,2021-07-30 01:11:13,20.8947,-156.47,86.02,76,40,29.93
152,Bilibino,RU,2021-07-30 01:11:13,68.0546,166.4372,43.12,52,88,9.71
153,Katangli,RU,2021-07-30 01:11:14,51.7102,143.2326,69.06,92,100,7.63
154,Port Elizabeth,ZA,2021-07-30 01:11:14,-33.918,25.5701,48.09,85,2,7.4
155,Alexandria,EG,2021-07-30 01:08:02,31.2156,29.9553,79.16,78,0,9.82
156,Dikson,RU,2021-07-30 01:11:15,73.5069,80.5464,43.34,82,100,14.54
157,Haiger,DE,2021-07-30 01:11:15,50.75,8.2167,58.01,89,6,4.0
158,Cockburn Town,TC,2021-07-30 01:11:16,21.4612,-71.1419,82.29,79,0,20.74
